Index,URL,Type,Page
1,"http://www.linkedin.com/pub/ashley-conard/28/486/a23/",embedded,1
2,"http://github.com/ashleymaeconard/cssi-2014",embedded,1
3,"https://www.depauw.edu/academics/departments-programs/computer-science/for-students/senior-projects/2013-2014-abstracts/ashley-conard-chemical-inventory-management-program/",embedded,1
4,"http://dpuadweb.depauw.edu/droberts_web/DCHASinv/login_index.html",embedded,1
5,"mailto:ashleymaeconard@gmail.com",text,1
6,"www.linkedin",text,1
7,"https://www.biorxiv.org/content/10.1101/2020.09.14.296418v1",embedded,2
8,"https://www.biorxiv.org/content/10.1101/2021.03.18.436074v1",embedded,2
9,"https://www.biorxiv.org/content/10.1101/2021.01.02.425101v2.abstract",embedded,2
10,"https://www.biorxiv.org/content/10.1101/2020.10.09.333831v1.full",embedded,2
11,"http://cs.brown.edu/research/pubs/theses/masters/2019/conard.ashley.pdf",embedded,2
12,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5166585/",embedded,2
13,"https://arxiv.org/abs/1501.05546",embedded,2
14,"https://bit.ly/2yifZ4D",embedded,2
15,"https://www.depauw.edu/offices/sustainability/campus-farm-2/",embedded,2
16,"https://cutt.ly/SjxUCdo",embedded,2
17,"http://bit.ly/2ijyNrO",embedded,2
18,"https://static1.squarespace.com/static/5c49fe1a45776ed167cb91ad/t/61895d1ad1ade7208e95d7c3/1636392221508/TelleWhitney_2021_SurveyReport.pdf",embedded,2
19,"https://anitab.org/profile/ashley-conard-new-student-board-member/",embedded,2
20,"https://fulbright.org/2019/07/30/remembering-d-day/",embedded,2
21,"https://fulbright.org/2019/01/29/alumni-profile-ashley-mae-conard/",embedded,2
22,"https://www.depauw.edu/news-media/latest-news/details/30866/%20and%20http:/www.depauw.edu/news-media/latest-news/details/30949/",embedded,2
23,"B.org",text,2
